hazard_type,indicator_id,path,display_name,description_short
ChronicHeat,days_tas/above/25c,chronic_heat/osc/v2/days_tas_above_25c_CNRM-CM6-1_{scenario}_{year},Days with average temperature above 25°C/CNRM-CM6-1,"Days per year for which the average near-surface temperature 'tas' is above a threshold specified in °C.

$$
I =  \frac{365}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{"
ChronicHeat,days_tas/above/25c,chronic_heat/osc/v2/days_tas_above_25c_MPI-ESM1-2-LR_{scenario}_{year},Days with average temperature above 25°C/MPI-ESM1-2-LR,"Days per year for which the average near-surface temperature 'tas' is above a threshold specified in °C.

$$
I =  \frac{365}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{"
ChronicHeat,days_tas/above/25c,chronic_heat/osc/v2/days_tas_above_25c_MIROC6_{scenario}_{year},Days with average temperature above 25°C/MIROC6,"Days per year for which the average near-surface temperature 'tas' is above a threshold specified in °C.

$$
I =  \frac{365}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{"
ChronicHeat,days_tas/above/25c,chronic_heat/osc/v2/days_tas_above_25c_NorESM2-MM_{scenario}_{year},Days with average temperature above 25°C/NorESM2-MM,"Days per year for which the average near-surface temperature 'tas' is above a threshold specified in °C.

$$
I =  \frac{365}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{"
ChronicHeat,days_tas/above/30c,chronic_heat/osc/v2/days_tas_above_30c_ACCESS-CM2_{scenario}_{year},Days with average temperature above 30°C/ACCESS-CM2,"Days per year for which the average near-surface temperature 'tas' is above a threshold specified in °C.

$$
I =  \frac{365}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{"
ChronicHeat,days_tas/above/30c,chronic_heat/osc/v2/days_tas_above_30c_CMCC-ESM2_{scenario}_{year},Days with average temperature above 30°C/CMCC-ESM2,"Days per year for which the average near-surface temperature 'tas' is above a threshold specified in °C.

$$
I =  \frac{365}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{"
ChronicHeat,days_tas/above/30c,chronic_heat/osc/v2/days_tas_above_30c_CNRM-CM6-1_{scenario}_{year},Days with average temperature above 30°C/CNRM-CM6-1,"Days per year for which the average near-surface temperature 'tas' is above a threshold specified in °C.

$$
I =  \frac{365}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{"
ChronicHeat,days_tas/above/30c,chronic_heat/osc/v2/days_tas_above_30c_MPI-ESM1-2-LR_{scenario}_{year},Days with average temperature above 30°C/MPI-ESM1-2-LR,"Days per year for which the average near-surface temperature 'tas' is above a threshold specified in °C.

$$
I =  \frac{365}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{"
ChronicHeat,days_tas/above/30c,chronic_heat/osc/v2/days_tas_above_30c_MIROC6_{scenario}_{year},Days with average temperature above 30°C/MIROC6,"Days per year for which the average near-surface temperature 'tas' is above a threshold specified in °C.

$$
I =  \frac{365}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{"
ChronicHeat,days_tas/above/30c,chronic_heat/osc/v2/days_tas_above_30c_NorESM2-MM_{scenario}_{year},Days with average temperature above 30°C/NorESM2-MM,"Days per year for which the average near-surface temperature 'tas' is above a threshold specified in °C.

$$
I =  \frac{365}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{"
